ts_event,best_level_ofi,ofi_level_0,ofi_level_1,ofi_level_2,ofi_level_3,ofi_level_4,ofi_level_5,ofi_level_6,ofi_level_7,ofi_level_8,ofi_level_9,integrated_ofi,symbol,best_level_ofi_AAPL,integrated_ofi_AAPL
2024-10-21 11:55:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03309027620807993,AAPL,0.0,0.03309027620807993
2024-10-21 11:56:00+00:00,-173.0,-173.0,0.0,600.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.26146734784816406,AAPL,-173.0,0.26146734784816406
2024-10-21 11:57:00+00:00,-499.0,-499.0,-201.0,192.0,-121.0,-185.0,85.0,-19.0,-90.0,56.0,-99.0,-1.2006272355915306,AAPL,-499.0,-1.2006272355915306
2024-10-21 11:58:00+00:00,0.0,0.0,400.0,26.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23434399385813232,AAPL,0.0,0.23434399385813232
2024-10-21 11:59:00+00:00,0.0,0.0,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12119857312440314,AAPL,0.0,0.12119857312440314
2024-10-21 12:00:00+00:00,-1.0,-1.0,-150.0,-225.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21309394461220962,AAPL,-1.0,-0.21309394461220962
2024-10-21 12:01:00+00:00,1.0,1.0,300.0,-140.0,375.0,-13.0,-172.0,66.0,-144.0,-290.0,99.0,0.15412941006677994,AAPL,1.0,0.15412941006677994
2024-10-21 12:02:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03309027620808127,AAPL,0.0,0.03309027620808127
2024-10-21 12:03:00+00:00,1.0,1.0,500.0,200.0,8.0,28.0,15.0,110.0,10.0,110.0,100.0,1.0424856261534423,AAPL,1.0,1.0424856261534423
2024-10-21 12:04:00+00:00,-3.0,-3.0,18.0,505.0,-200.0,7.0,-200.0,-44.0,-154.0,-400.0,-50.0,-0.765544933839364,AAPL,-3.0,-0.765544933839364
